PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	nonoverlap.noca_only.csv (440)	nonoverlap.noca_only.csv (expected)	nonoverlap.noca_only.csv (over/under)	nonoverlap.noca_only.csv (fold Enrichment)	P-value
carboxylic acid biosynthetic process (GO:0046394)	60	0	2.12	-	 < 0.01	2.77E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	22	0	0.78	-	 < 0.01	1.00E+00
ribose phosphate biosynthetic process (GO:0046390)	40	0	1.42	-	 < 0.01	4.04E-01
embryonic organ development (GO:0048568)	22	0	0.78	-	 < 0.01	1.00E+00
glycosyl compound catabolic process (GO:1901658)	13	0	0.46	-	 < 0.01	1.00E+00
energy derivation by oxidation of organic compounds (GO:0015980)	41	0	1.45	-	 < 0.01	4.04E-01
glycosyl compound metabolic process (GO:1901657)	24	0	0.85	-	 < 0.01	1.00E+00
triglyceride metabolic process (GO:0006641)	16	0	0.57	-	 < 0.01	1.00E+00
cellular response to peptide (GO:1901653)	31	0	1.1	-	 < 0.01	6.27E-01
response to peptide (GO:1901652)	36	0	1.27	-	 < 0.01	6.39E-01
cardiac muscle cell differentiation (GO:0055007)	7	0	0.25	-	 < 0.01	1.00E+00
positive regulation of protein localization (GO:1903829)	12	0	0.42	-	 < 0.01	1.00E+00
positive regulation of synaptic transmission (GO:0050806)	20	0	0.71	-	 < 0.01	1.00E+00
melanocyte differentiation (GO:0030318)	3	0	0.11	-	 < 0.01	1.00E+00
flagellated sperm motility (GO:0030317)	1	0	0.04	-	 < 0.01	1.00E+00
organic acid transmembrane transport (GO:1903825)	55	0	1.95	-	 < 0.01	2.67E-01
striated muscle cell development (GO:0055002)	26	0	0.92	-	 < 0.01	1.00E+00
osteoclast differentiation (GO:0030316)	4	0	0.14	-	 < 0.01	1.00E+00
muscle cell development (GO:0055001)	35	0	1.24	-	 < 0.01	6.36E-01
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	0	0.11	-	 < 0.01	1.00E+00
acylglycerol metabolic process (GO:0006639)	22	0	0.78	-	 < 0.01	1.00E+00
neutral lipid metabolic process (GO:0006638)	22	0	0.78	-	 < 0.01	1.00E+00
acyl-CoA metabolic process (GO:0006637)	20	0	0.71	-	 < 0.01	1.00E+00
nuclear envelope organization (GO:0006998)	11	0	0.39	-	 < 0.01	1.00E+00
unsaturated fatty acid biosynthetic process (GO:0006636)	6	0	0.21	-	 < 0.01	1.00E+00
fatty acid beta-oxidation (GO:0006635)	23	0	0.81	-	 < 0.01	1.00E+00
nucleus organization (GO:0006997)	16	0	0.57	-	 < 0.01	1.00E+00
"mRNA cis splicing, via spliceosome (GO:0045292)"	4	0	0.14	-	 < 0.01	1.00E+00
fatty acid biosynthetic process (GO:0006633)	28	0	0.99	-	 < 0.01	6.25E-01
muscle system process (GO:0003012)	33	0	1.17	-	 < 0.01	6.31E-01
reproductive process (GO:0022414)	83	0	2.94	-	 < 0.01	1.23E-01
ERBB signaling pathway (GO:0038127)	13	0	0.46	-	 < 0.01	1.00E+00
cellular process involved in reproduction in multicellular organism (GO:0022412)	23	0	0.81	-	 < 0.01	1.00E+00
T cell activation involved in immune response (GO:0002286)	2	0	0.07	-	 < 0.01	1.00E+00
lymphocyte activation involved in immune response (GO:0002285)	2	0	0.07	-	 < 0.01	1.00E+00
DNA demethylation (GO:0080111)	6	0	0.21	-	 < 0.01	1.00E+00
cholesterol transport (GO:0030301)	12	0	0.42	-	 < 0.01	1.00E+00
macrophage activation involved in immune response (GO:0002281)	2	0	0.07	-	 < 0.01	1.00E+00
positive regulation of cation channel activity (GO:2001259)	5	0	0.18	-	 < 0.01	1.00E+00
response to steroid hormone (GO:0048545)	9	0	0.32	-	 < 0.01	1.00E+00
skeletal muscle contraction (GO:0003009)	8	0	0.28	-	 < 0.01	1.00E+00
negative regulation of chromosome organization (GO:2001251)	10	0	0.35	-	 < 0.01	1.00E+00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	0	0.04	-	 < 0.01	1.00E+00
developmental process involved in reproduction (GO:0003006)	29	0	1.03	-	 < 0.01	6.25E-01
protein targeting to mitochondrion (GO:0006626)	18	0	0.64	-	 < 0.01	1.00E+00
response to unfolded protein (GO:0006986)	20	0	0.71	-	 < 0.01	1.00E+00
protein targeting to vacuole (GO:0006623)	14	0	0.5	-	 < 0.01	1.00E+00
regionalization (GO:0003002)	38	0	1.35	-	 < 0.01	6.45E-01
protein targeting to lysosome (GO:0006622)	2	0	0.07	-	 < 0.01	1.00E+00
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	8	0	0.28	-	 < 0.01	1.00E+00
negative regulation of cell-cell adhesion (GO:0022408)	7	0	0.25	-	 < 0.01	1.00E+00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	29	0	1.03	-	 < 0.01	6.25E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	54	0	1.91	-	 < 0.01	2.66E-01
myeloid leukocyte activation (GO:0002274)	3	0	0.11	-	 < 0.01	1.00E+00
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	4	0	0.14	-	 < 0.01	1.00E+00
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	7	0	0.25	-	 < 0.01	1.00E+00
response to oxidative stress (GO:0006979)	24	0	0.85	-	 < 0.01	1.00E+00
negative regulation of cell cycle phase transition (GO:1901988)	47	0	1.66	-	 < 0.01	4.15E-01
interstrand cross-link repair (GO:0036297)	13	0	0.46	-	 < 0.01	1.00E+00
regulation of cell cycle phase transition (GO:1901987)	77	0	2.73	-	 < 0.01	1.17E-01
protein export from nucleus (GO:0006611)	9	0	0.32	-	 < 0.01	1.00E+00
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	2	0	0.07	-	 < 0.01	1.00E+00
response to osmotic stress (GO:0006970)	4	0	0.14	-	 < 0.01	1.00E+00
cell activation involved in immune response (GO:0002263)	4	0	0.14	-	 < 0.01	1.00E+00
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	4	0	0.14	-	 < 0.01	1.00E+00
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	11	0	0.39	-	 < 0.01	1.00E+00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	15	0	0.53	-	 < 0.01	1.00E+00
positive regulation of apoptotic signaling pathway (GO:2001235)	8	0	0.28	-	 < 0.01	1.00E+00
negative regulation of apoptotic signaling pathway (GO:2001234)	17	0	0.6	-	 < 0.01	1.00E+00
regulation of apoptotic signaling pathway (GO:2001233)	25	0	0.88	-	 < 0.01	1.00E+00
NLS-bearing protein import into nucleus (GO:0006607)	10	0	0.35	-	 < 0.01	1.00E+00
G2/M transition of mitotic cell cycle (GO:0000086)	4	0	0.14	-	 < 0.01	1.00E+00
positive regulation of cell motility (GO:2000147)	53	0	1.88	-	 < 0.01	2.65E-01
cilium movement (GO:0003341)	20	0	0.71	-	 < 0.01	1.00E+00
G1/S transition of mitotic cell cycle (GO:0000082)	17	0	0.6	-	 < 0.01	1.00E+00
miRNA processing (GO:0035196)	12	0	0.42	-	 < 0.01	1.00E+00
protein K48-linked deubiquitination (GO:0071108)	4	0	0.14	-	 < 0.01	1.00E+00
immune effector process (GO:0002252)	12	0	0.42	-	 < 0.01	1.00E+00
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	9	0	0.32	-	 < 0.01	1.00E+00
adaptive immune response (GO:0002250)	9	0	0.32	-	 < 0.01	1.00E+00
spermatid differentiation (GO:0048515)	3	0	0.11	-	 < 0.01	1.00E+00
blood vessel morphogenesis (GO:0048514)	37	0	1.31	-	 < 0.01	6.42E-01
humoral immune response (GO:0006959)	9	0	0.32	-	 < 0.01	1.00E+00
nucleobase-containing compound transport (GO:0015931)	63	0	2.23	-	 < 0.01	1.74E-01
rhythmic process (GO:0048511)	24	0	0.85	-	 < 0.01	1.00E+00
alpha-amino acid biosynthetic process (GO:1901607)	27	0	0.96	-	 < 0.01	1.00E+00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	13	0	0.46	-	 < 0.01	1.00E+00
complement activation (GO:0006956)	6	0	0.21	-	 < 0.01	1.00E+00
immune response (GO:0006955)	59	0	2.09	-	 < 0.01	2.74E-01
DNA damage checkpoint signaling (GO:0000077)	21	0	0.74	-	 < 0.01	1.00E+00
regulation of ERK1 and ERK2 cascade (GO:0070372)	17	0	0.6	-	 < 0.01	1.00E+00
DNA replication checkpoint signaling (GO:0000076)	9	0	0.32	-	 < 0.01	1.00E+00
amino acid transmembrane transport (GO:0003333)	45	0	1.59	-	 < 0.01	4.10E-01
cell cycle checkpoint signaling (GO:0000075)	38	0	1.35	-	 < 0.01	6.45E-01
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	6	0	0.21	-	 < 0.01	1.00E+00
hematopoietic progenitor cell differentiation (GO:0002244)	1	0	0.04	-	 < 0.01	1.00E+00
positive regulation of JNK cascade (GO:0046330)	8	0	0.28	-	 < 0.01	1.00E+00
syncytium formation (GO:0006949)	3	0	0.11	-	 < 0.01	1.00E+00
striated muscle contraction (GO:0006941)	20	0	0.71	-	 < 0.01	1.00E+00
response to molecule of bacterial origin (GO:0002237)	13	0	0.46	-	 < 0.01	1.00E+00
regulation of JNK cascade (GO:0046328)	12	0	0.42	-	 < 0.01	1.00E+00
negative regulation of programmed cell death (GO:0043069)	51	0	1.81	-	 < 0.01	2.64E-01
negative regulation of apoptotic process (GO:0043066)	50	0	1.77	-	 < 0.01	4.24E-01
cilium movement involved in cell motility (GO:0060294)	10	0	0.35	-	 < 0.01	1.00E+00
sterol transport (GO:0015918)	17	0	0.6	-	 < 0.01	1.00E+00
regulation of muscle contraction (GO:0006937)	7	0	0.25	-	 < 0.01	1.00E+00
muscle contraction (GO:0006936)	32	0	1.13	-	 < 0.01	6.29E-01
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of cysteine-type endopeptidase activity (GO:2000116)	22	0	0.78	-	 < 0.01	1.00E+00
ribosomal subunit export from nucleus (GO:0000054)	8	0	0.28	-	 < 0.01	1.00E+00
pyrimidine-containing compound metabolic process (GO:0072527)	24	0	0.85	-	 < 0.01	1.00E+00
purine-containing compound catabolic process (GO:0072523)	26	0	0.92	-	 < 0.01	1.00E+00
endoplasmic reticulum unfolded protein response (GO:0030968)	19	0	0.67	-	 < 0.01	1.00E+00
cilium-dependent cell motility (GO:0060285)	13	0	0.46	-	 < 0.01	1.00E+00
long-chain fatty acid transport (GO:0015909)	5	0	0.18	-	 < 0.01	1.00E+00
fatty acid transport (GO:0015908)	20	0	0.71	-	 < 0.01	1.00E+00
transition metal ion transport (GO:0000041)	35	0	1.24	-	 < 0.01	6.36E-01
negative regulation of peptidase activity (GO:0010466)	24	0	0.85	-	 < 0.01	1.00E+00
endoplasmic reticulum tubular network organization (GO:0071786)	10	0	0.35	-	 < 0.01	1.00E+00
centrosome duplication (GO:0051298)	10	0	0.35	-	 < 0.01	1.00E+00
male sex differentiation (GO:0046661)	1	0	0.04	-	 < 0.01	1.00E+00
protein localization to Golgi apparatus (GO:0034067)	9	0	0.32	-	 < 0.01	1.00E+00
inner ear development (GO:0048839)	2	0	0.07	-	 < 0.01	1.00E+00
establishment of spindle orientation (GO:0051294)	11	0	0.39	-	 < 0.01	1.00E+00
establishment of spindle localization (GO:0051293)	18	0	0.64	-	 < 0.01	1.00E+00
sarcomere organization (GO:0045214)	15	0	0.53	-	 < 0.01	1.00E+00
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	12	0	0.42	-	 < 0.01	1.00E+00
"phagocytosis, engulfment (GO:0006911)"	5	0	0.18	-	 < 0.01	1.00E+00
carboxylic acid transmembrane transport (GO:1905039)	55	0	1.95	-	 < 0.01	2.67E-01
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	2	0	0.07	-	 < 0.01	1.00E+00
somatic diversification of immune receptors (GO:0002200)	2	0	0.07	-	 < 0.01	1.00E+00
lymphocyte proliferation (GO:0046651)	1	0	0.04	-	 < 0.01	1.00E+00
regulation of macrophage activation (GO:0043030)	1	0	0.04	-	 < 0.01	1.00E+00
cellular response to BMP stimulus (GO:0071773)	18	0	0.64	-	 < 0.01	1.00E+00
response to BMP (GO:0071772)	18	0	0.64	-	 < 0.01	1.00E+00
triglyceride homeostasis (GO:0070328)	5	0	0.18	-	 < 0.01	1.00E+00
spliceosomal snRNP assembly (GO:0000387)	16	0	0.57	-	 < 0.01	1.00E+00
vesicle targeting (GO:0006903)	8	0	0.28	-	 < 0.01	1.00E+00
"regulation of alternative mRNA splicing, via spliceosome (GO:0000381)"	22	0	0.78	-	 < 0.01	1.00E+00
"alternative mRNA splicing, via spliceosome (GO:0000380)"	6	0	0.21	-	 < 0.01	1.00E+00
cellular response to organic cyclic compound (GO:0071407)	24	0	0.85	-	 < 0.01	1.00E+00
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	4	0	0.14	-	 < 0.01	1.00E+00
nuclear membrane organization (GO:0071763)	4	0	0.14	-	 < 0.01	1.00E+00
central nervous system neuron differentiation (GO:0021953)	6	0	0.21	-	 < 0.01	1.00E+00
dendrite morphogenesis (GO:0048813)	2	0	0.07	-	 < 0.01	1.00E+00
regulation of DNA recombination (GO:0000018)	7	0	0.25	-	 < 0.01	1.00E+00
granulocyte migration (GO:0097530)	3	0	0.11	-	 < 0.01	1.00E+00
telomere localization (GO:0034397)	1	0	0.04	-	 < 0.01	1.00E+00
myeloid leukocyte migration (GO:0097529)	3	0	0.11	-	 < 0.01	1.00E+00
regulation of leukocyte proliferation (GO:0070663)	5	0	0.18	-	 < 0.01	1.00E+00
synaptic vesicle exocytosis (GO:0016079)	25	0	0.88	-	 < 0.01	1.00E+00
reproduction (GO:0000003)	83	0	2.94	-	 < 0.01	1.23E-01
leukocyte proliferation (GO:0070661)	1	0	0.04	-	 < 0.01	1.00E+00
motile cilium assembly (GO:0044458)	4	0	0.14	-	 < 0.01	1.00E+00
mitochondrial genome maintenance (GO:0000002)	6	0	0.21	-	 < 0.01	1.00E+00
snRNA metabolic process (GO:0016073)	30	0	1.06	-	 < 0.01	6.26E-01
centriole replication (GO:0007099)	9	0	0.32	-	 < 0.01	1.00E+00
centrosome cycle (GO:0007098)	17	0	0.6	-	 < 0.01	1.00E+00
nuclear migration (GO:0007097)	13	0	0.46	-	 < 0.01	1.00E+00
negative regulation of double-strand break repair (GO:2000780)	7	0	0.25	-	 < 0.01	1.00E+00
chordate embryonic development (GO:0043009)	18	0	0.64	-	 < 0.01	1.00E+00
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	8	0	0.28	-	 < 0.01	1.00E+00
mitotic spindle assembly checkpoint signaling (GO:0007094)	9	0	0.32	-	 < 0.01	1.00E+00
regulation of mitotic spindle organization (GO:0060236)	2	0	0.07	-	 < 0.01	1.00E+00
mitotic cell cycle checkpoint signaling (GO:0007093)	25	0	0.88	-	 < 0.01	1.00E+00
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	2	0	0.07	-	 < 0.01	1.00E+00
response to temperature stimulus (GO:0009266)	12	0	0.42	-	 < 0.01	1.00E+00
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	10	0	0.35	-	 < 0.01	1.00E+00
calcium-ion regulated exocytosis (GO:0017156)	18	0	0.64	-	 < 0.01	1.00E+00
ribonucleotide catabolic process (GO:0009261)	21	0	0.74	-	 < 0.01	1.00E+00
positive regulation of lymphocyte activation (GO:0051251)	8	0	0.28	-	 < 0.01	1.00E+00
purine nucleoside metabolic process (GO:0042278)	7	0	0.25	-	 < 0.01	1.00E+00
ribonucleotide biosynthetic process (GO:0009260)	37	0	1.31	-	 < 0.01	6.42E-01
negative regulation of lymphocyte activation (GO:0051250)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of double-strand break repair (GO:2000779)	9	0	0.32	-	 < 0.01	1.00E+00
cardiac muscle cell action potential involved in contraction (GO:0086002)	5	0	0.18	-	 < 0.01	1.00E+00
cell-cell fusion (GO:0140253)	3	0	0.11	-	 < 0.01	1.00E+00
immunoglobulin mediated immune response (GO:0016064)	2	0	0.07	-	 < 0.01	1.00E+00
regulation of mitotic nuclear division (GO:0007088)	24	0	0.85	-	 < 0.01	1.00E+00
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	16	0	0.57	-	 < 0.01	1.00E+00
immune system development (GO:0002520)	5	0	0.18	-	 < 0.01	1.00E+00
forebrain development (GO:0030900)	11	0	0.39	-	 < 0.01	1.00E+00
regulation of lymphocyte activation (GO:0051249)	13	0	0.46	-	 < 0.01	1.00E+00
mitotic metaphase chromosome alignment (GO:0007080)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	2	0	0.07	-	 < 0.01	1.00E+00
positive regulation of TORC1 signaling (GO:1904263)	11	0	0.39	-	 < 0.01	1.00E+00
glucan biosynthetic process (GO:0009250)	2	0	0.07	-	 < 0.01	1.00E+00
hexose biosynthetic process (GO:0019319)	8	0	0.28	-	 < 0.01	1.00E+00
hexose metabolic process (GO:0019318)	24	0	0.85	-	 < 0.01	1.00E+00
organic acid biosynthetic process (GO:0016053)	60	0	2.12	-	 < 0.01	2.77E-01
regulation of lymphocyte migration (GO:2000401)	4	0	0.14	-	 < 0.01	1.00E+00
carbohydrate catabolic process (GO:0016052)	32	0	1.13	-	 < 0.01	6.29E-01
carbohydrate biosynthetic process (GO:0016051)	19	0	0.67	-	 < 0.01	1.00E+00
regulation of centrosome cycle (GO:0046605)	6	0	0.21	-	 < 0.01	1.00E+00
glycolipid biosynthetic process (GO:0009247)	30	0	1.06	-	 < 0.01	6.26E-01
establishment of RNA localization (GO:0051236)	41	0	1.45	-	 < 0.01	4.04E-01
maintenance of location (GO:0051235)	26	0	0.92	-	 < 0.01	1.00E+00
spindle elongation (GO:0051231)	7	0	0.25	-	 < 0.01	1.00E+00
cell growth (GO:0016049)	5	0	0.18	-	 < 0.01	1.00E+00
cell cycle DNA replication (GO:0044786)	12	0	0.42	-	 < 0.01	1.00E+00
metaphase/anaphase transition of cell cycle (GO:0044784)	2	0	0.07	-	 < 0.01	1.00E+00
mitotic sister chromatid cohesion (GO:0007064)	7	0	0.25	-	 < 0.01	1.00E+00
sister chromatid cohesion (GO:0007062)	15	0	0.53	-	 < 0.01	1.00E+00
septin cytoskeleton organization (GO:0032185)	2	0	0.07	-	 < 0.01	1.00E+00
peptidyl-tyrosine modification (GO:0018212)	9	0	0.32	-	 < 0.01	1.00E+00
spindle assembly (GO:0051225)	25	0	0.88	-	 < 0.01	1.00E+00
developmental growth involved in morphogenesis (GO:0060560)	5	0	0.18	-	 < 0.01	1.00E+00
regeneration (GO:0031099)	2	0	0.07	-	 < 0.01	1.00E+00
regulation of protein transport (GO:0051223)	13	0	0.46	-	 < 0.01	1.00E+00
positive regulation of protein transport (GO:0051222)	4	0	0.14	-	 < 0.01	1.00E+00
detection of chemical stimulus (GO:0009593)	5	0	0.18	-	 < 0.01	1.00E+00
tissue regeneration (GO:0042246)	2	0	0.07	-	 < 0.01	1.00E+00
plasma membrane phospholipid scrambling (GO:0017121)	5	0	0.18	-	 < 0.01	1.00E+00
positive regulation of proteolysis (GO:0045862)	42	0	1.49	-	 < 0.01	4.05E-01
negative regulation of proteolysis (GO:0045861)	29	0	1.03	-	 < 0.01	6.25E-01
biological process involved in interspecies interaction between organisms (GO:0044419)	44	0	1.56	-	 < 0.01	4.08E-01
positive regulation of protein kinase activity (GO:0045860)	30	0	1.06	-	 < 0.01	6.26E-01
nuclear DNA replication (GO:0033260)	12	0	0.42	-	 < 0.01	1.00E+00
mitotic DNA integrity checkpoint signaling (GO:0044774)	14	0	0.5	-	 < 0.01	1.00E+00
mitotic DNA damage checkpoint signaling (GO:0044773)	13	0	0.46	-	 < 0.01	1.00E+00
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	6	0	0.21	-	 < 0.01	1.00E+00
mitotic spindle organization (GO:0007052)	32	0	1.13	-	 < 0.01	6.29E-01
spindle organization (GO:0007051)	48	0	1.7	-	 < 0.01	4.18E-01
cartilage development (GO:0051216)	8	0	0.28	-	 < 0.01	1.00E+00
nucleotide-sugar metabolic process (GO:0009225)	7	0	0.25	-	 < 0.01	1.00E+00
neuron migration (GO:0001764)	9	0	0.32	-	 < 0.01	1.00E+00
morphogenesis of a branching structure (GO:0001763)	1	0	0.04	-	 < 0.01	1.00E+00
protein K11-linked ubiquitination (GO:0070979)	7	0	0.25	-	 < 0.01	1.00E+00
glucose homeostasis (GO:0042593)	9	0	0.32	-	 < 0.01	1.00E+00
aerobic electron transport chain (GO:0019646)	4	0	0.14	-	 < 0.01	1.00E+00
cell-substrate junction assembly (GO:0007044)	1	0	0.04	-	 < 0.01	1.00E+00
lysosomal transport (GO:0007041)	20	0	0.71	-	 < 0.01	1.00E+00
protein insertion into membrane (GO:0051205)	6	0	0.21	-	 < 0.01	1.00E+00
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	9	0	0.32	-	 < 0.01	1.00E+00
positive regulation of mitotic nuclear division (GO:0045840)	9	0	0.32	-	 < 0.01	1.00E+00
response to reactive oxygen species (GO:0000302)	8	0	0.28	-	 < 0.01	1.00E+00
meiosis I cell cycle process (GO:0061982)	30	0	1.06	-	 < 0.01	6.26E-01
protein localization to synapse (GO:0035418)	15	0	0.53	-	 < 0.01	1.00E+00
endosome organization (GO:0007032)	13	0	0.46	-	 < 0.01	1.00E+00
regulation of phosphoprotein phosphatase activity (GO:0043666)	5	0	0.18	-	 < 0.01	1.00E+00
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	2	0	0.07	-	 < 0.01	1.00E+00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	21	0	0.74	-	 < 0.01	1.00E+00
fertilization (GO:0009566)	6	0	0.21	-	 < 0.01	1.00E+00
negative regulation of mitotic nuclear division (GO:0045839)	9	0	0.32	-	 < 0.01	1.00E+00
ribonucleoside triphosphate biosynthetic process (GO:0009201)	4	0	0.14	-	 < 0.01	1.00E+00
translesion synthesis (GO:0019985)	11	0	0.39	-	 < 0.01	1.00E+00
endoplasmic reticulum organization (GO:0007029)	23	0	0.81	-	 < 0.01	1.00E+00
pattern specification process (GO:0007389)	49	0	1.73	-	 < 0.01	4.21E-01
protein transmembrane import into intracellular organelle (GO:0044743)	21	0	0.74	-	 < 0.01	1.00E+00
activation of protein kinase activity (GO:0032147)	8	0	0.28	-	 < 0.01	1.00E+00
microtubule nucleation (GO:0007020)	16	0	0.57	-	 < 0.01	1.00E+00
positive regulation of adaptive immune response (GO:0002821)	2	0	0.07	-	 < 0.01	1.00E+00
Arp2/3 complex-mediated actin nucleation (GO:0034314)	13	0	0.46	-	 < 0.01	1.00E+00
pre-miRNA processing (GO:0031054)	6	0	0.21	-	 < 0.01	1.00E+00
primary miRNA processing (GO:0031053)	2	0	0.07	-	 < 0.01	1.00E+00
defense response to symbiont (GO:0140546)	29	0	1.03	-	 < 0.01	6.25E-01
dendrite development (GO:0016358)	9	0	0.32	-	 < 0.01	1.00E+00
microtubule depolymerization (GO:0007019)	10	0	0.35	-	 < 0.01	1.00E+00
dicarboxylic acid metabolic process (GO:0043648)	16	0	0.57	-	 < 0.01	1.00E+00
response to lipopolysaccharide (GO:0032496)	13	0	0.46	-	 < 0.01	1.00E+00
nucleotide-excision repair (GO:0006289)	23	0	0.81	-	 < 0.01	1.00E+00
membrane depolarization (GO:0051899)	23	0	0.81	-	 < 0.01	1.00E+00
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	17	0	0.6	-	 < 0.01	1.00E+00
regulatory ncRNA-mediated gene silencing (GO:0031047)	28	0	0.99	-	 < 0.01	6.25E-01
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	19	0	0.67	-	 < 0.01	1.00E+00
base-excision repair (GO:0006284)	13	0	0.46	-	 < 0.01	1.00E+00
regulation of DNA repair (GO:0006282)	17	0	0.6	-	 < 0.01	1.00E+00
protein K48-linked ubiquitination (GO:0070936)	9	0	0.32	-	 < 0.01	1.00E+00
inner mitochondrial membrane organization (GO:0007007)	12	0	0.42	-	 < 0.01	1.00E+00
mitochondrial membrane organization (GO:0007006)	15	0	0.53	-	 < 0.01	1.00E+00
determination of left/right symmetry (GO:0007368)	2	0	0.07	-	 < 0.01	1.00E+00
regulation of cilium assembly (GO:1902017)	5	0	0.18	-	 < 0.01	1.00E+00
telomere maintenance via telomerase (GO:0007004)	6	0	0.21	-	 < 0.01	1.00E+00
"vesicle targeting, to, from or within Golgi (GO:0048199)"	4	0	0.14	-	 < 0.01	1.00E+00
positive regulation of locomotion (GO:0040017)	53	0	1.88	-	 < 0.01	2.65E-01
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	4	0	0.14	-	 < 0.01	1.00E+00
positive regulation of type I interferon production (GO:0032481)	2	0	0.07	-	 < 0.01	1.00E+00
nucleobase-containing small molecule catabolic process (GO:0034656)	8	0	0.28	-	 < 0.01	1.00E+00
positive regulation of endocytosis (GO:0045807)	3	0	0.11	-	 < 0.01	1.00E+00
negative regulation of protein ubiquitination (GO:0031397)	6	0	0.21	-	 < 0.01	1.00E+00
negative regulation of endocytosis (GO:0045806)	4	0	0.14	-	 < 0.01	1.00E+00
actomyosin structure organization (GO:0031032)	53	0	1.88	-	 < 0.01	2.65E-01
DNA strand elongation involved in DNA replication (GO:0006271)	12	0	0.42	-	 < 0.01	1.00E+00
DNA replication initiation (GO:0006270)	16	0	0.57	-	 < 0.01	1.00E+00
tumor necrosis factor-mediated signaling pathway (GO:0033209)	4	0	0.14	-	 < 0.01	1.00E+00
reciprocal homologous recombination (GO:0140527)	23	0	0.81	-	 < 0.01	1.00E+00
regulation of insulin secretion (GO:0050796)	5	0	0.18	-	 < 0.01	1.00E+00
sexual reproduction (GO:0019953)	77	0	2.73	-	 < 0.01	1.17E-01
negative regulation of RNA catabolic process (GO:1902369)	13	0	0.46	-	 < 0.01	1.00E+00
intraciliary transport involved in cilium assembly (GO:0035735)	4	0	0.14	-	 < 0.01	1.00E+00
growth (GO:0040007)	7	0	0.25	-	 < 0.01	1.00E+00
cell fate specification (GO:0001708)	29	0	1.03	-	 < 0.01	6.25E-01
mesoderm formation (GO:0001707)	7	0	0.25	-	 < 0.01	1.00E+00
DNA unwinding involved in DNA replication (GO:0006268)	7	0	0.25	-	 < 0.01	1.00E+00
establishment of mitotic spindle localization (GO:0040001)	13	0	0.46	-	 < 0.01	1.00E+00
microtubule organizing center organization (GO:0031023)	21	0	0.74	-	 < 0.01	1.00E+00
regulatory ncRNA processing (GO:0070918)	19	0	0.67	-	 < 0.01	1.00E+00
DNA-templated DNA replication (GO:0006261)	65	0	2.3	-	 < 0.01	1.75E-01
regulation of receptor signaling pathway via STAT (GO:1904892)	9	0	0.32	-	 < 0.01	1.00E+00
unsaturated fatty acid metabolic process (GO:0033559)	9	0	0.32	-	 < 0.01	1.00E+00
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	5	0	0.18	-	 < 0.01	1.00E+00
post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	2	0	0.07	-	 < 0.01	1.00E+00
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	17	0	0.6	-	 < 0.01	1.00E+00
regulation of mitotic cell cycle (GO:0007346)	80	0	2.83	-	 < 0.01	1.19E-01
regulation of cytokinesis (GO:0032465)	6	0	0.21	-	 < 0.01	1.00E+00
