PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.dxy.50000kb.genenames_filtered.txt (187)	pyrr.dxy.50000kb.genenames_filtered.txt (expected)	pyrr.dxy.50000kb.genenames_filtered.txt (over/under)	pyrr.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
sensory system development (GO:0048880)	34	0	0.5	-	 < 0.01	1.00E+00
G2/M transition of mitotic cell cycle (GO:0000086)	4	0	0.06	-	 < 0.01	1.00E+00
G1/S transition of mitotic cell cycle (GO:0000082)	18	0	0.26	-	 < 0.01	1.00E+00
regulation of wound healing (GO:0061041)	7	0	0.1	-	 < 0.01	1.00E+00
miRNA processing (GO:0035196)	12	0	0.18	-	 < 0.01	1.00E+00
amino sugar catabolic process (GO:0046348)	3	0	0.04	-	 < 0.01	1.00E+00
protein K48-linked deubiquitination (GO:0071108)	4	0	0.06	-	 < 0.01	1.00E+00
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	9	0	0.13	-	 < 0.01	1.00E+00
regulation of GTPase activity (GO:0043087)	74	0	1.09	-	 < 0.01	6.30E-01
negative regulation of catalytic activity (GO:0043086)	62	0	0.91	-	 < 0.01	1.00E+00
adaptive immune response (GO:0002250)	9	0	0.13	-	 < 0.01	1.00E+00
DNA conformation change (GO:0071103)	16	0	0.23	-	 < 0.01	1.00E+00
spermatid differentiation (GO:0048515)	4	0	0.06	-	 < 0.01	1.00E+00
blood vessel morphogenesis (GO:0048514)	38	0	0.56	-	 < 0.01	1.00E+00
humoral immune response (GO:0006959)	9	0	0.13	-	 < 0.01	1.00E+00
nucleobase-containing compound transport (GO:0015931)	63	0	0.93	-	 < 0.01	1.00E+00
rhythmic process (GO:0048511)	24	0	0.35	-	 < 0.01	1.00E+00
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	25	0	0.37	-	 < 0.01	1.00E+00
alpha-amino acid biosynthetic process (GO:1901607)	27	0	0.4	-	 < 0.01	1.00E+00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	13	0	0.19	-	 < 0.01	1.00E+00
multicellular organismal-level homeostasis (GO:0048871)	12	0	0.18	-	 < 0.01	1.00E+00
complement activation (GO:0006956)	6	0	0.09	-	 < 0.01	1.00E+00
alpha-amino acid metabolic process (GO:1901605)	80	0	1.17	-	 < 0.01	6.34E-01
DNA damage checkpoint signaling (GO:0000077)	21	0	0.31	-	 < 0.01	1.00E+00
regulation of ERK1 and ERK2 cascade (GO:0070372)	17	0	0.25	-	 < 0.01	1.00E+00
DNA replication checkpoint signaling (GO:0000076)	9	0	0.13	-	 < 0.01	1.00E+00
amino acid transmembrane transport (GO:0003333)	45	0	0.66	-	 < 0.01	1.00E+00
cell cycle checkpoint signaling (GO:0000075)	39	0	0.57	-	 < 0.01	1.00E+00
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	6	0	0.09	-	 < 0.01	1.00E+00
hematopoietic progenitor cell differentiation (GO:0002244)	1	0	0.01	-	 < 0.01	1.00E+00
positive regulation of JNK cascade (GO:0046330)	8	0	0.12	-	 < 0.01	1.00E+00
syncytium formation (GO:0006949)	3	0	0.04	-	 < 0.01	1.00E+00
striated muscle contraction (GO:0006941)	21	0	0.31	-	 < 0.01	1.00E+00
response to molecule of bacterial origin (GO:0002237)	14	0	0.21	-	 < 0.01	1.00E+00
regulation of JNK cascade (GO:0046328)	12	0	0.18	-	 < 0.01	1.00E+00
negative regulation of programmed cell death (GO:0043069)	53	0	0.78	-	 < 0.01	1.00E+00
positive regulation of programmed cell death (GO:0043068)	34	0	0.5	-	 < 0.01	1.00E+00
regulation of programmed cell death (GO:0043067)	101	0	1.48	-	 < 0.01	4.09E-01
negative regulation of apoptotic process (GO:0043066)	52	0	0.76	-	 < 0.01	1.00E+00
positive regulation of apoptotic process (GO:0043065)	33	0	0.48	-	 < 0.01	1.00E+00
cilium movement involved in cell motility (GO:0060294)	10	0	0.15	-	 < 0.01	1.00E+00
sterol transport (GO:0015918)	17	0	0.25	-	 < 0.01	1.00E+00
phospholipid transport (GO:0015914)	32	0	0.47	-	 < 0.01	1.00E+00
inorganic anion transmembrane transport (GO:0098661)	41	0	0.6	-	 < 0.01	1.00E+00
regulation of muscle contraction (GO:0006937)	9	0	0.13	-	 < 0.01	1.00E+00
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of cysteine-type endopeptidase activity (GO:2000116)	22	0	0.32	-	 < 0.01	1.00E+00
positive regulation of mRNA catabolic process (GO:0061014)	30	0	0.44	-	 < 0.01	1.00E+00
pyrimidine-containing compound metabolic process (GO:0072527)	24	0	0.35	-	 < 0.01	1.00E+00
regulation of mRNA catabolic process (GO:0061013)	56	0	0.82	-	 < 0.01	1.00E+00
pyridine-containing compound metabolic process (GO:0072524)	36	0	0.53	-	 < 0.01	1.00E+00
purine-containing compound catabolic process (GO:0072523)	26	0	0.38	-	 < 0.01	1.00E+00
purine-containing compound biosynthetic process (GO:0072522)	54	0	0.79	-	 < 0.01	1.00E+00
purine-containing compound metabolic process (GO:0072521)	111	0	1.63	-	 < 0.01	4.15E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	19	0	0.28	-	 < 0.01	1.00E+00
toll-like receptor signaling pathway (GO:0002224)	4	0	0.06	-	 < 0.01	1.00E+00
pattern recognition receptor signaling pathway (GO:0002221)	12	0	0.18	-	 < 0.01	1.00E+00
cilium-dependent cell motility (GO:0060285)	14	0	0.21	-	 < 0.01	1.00E+00
long-chain fatty acid transport (GO:0015909)	5	0	0.07	-	 < 0.01	1.00E+00
fatty acid transport (GO:0015908)	20	0	0.29	-	 < 0.01	1.00E+00
monoatomic anion transmembrane transport (GO:0098656)	40	0	0.59	-	 < 0.01	1.00E+00
autophagosome assembly (GO:0000045)	48	0	0.7	-	 < 0.01	1.00E+00
transition metal ion transport (GO:0000041)	38	0	0.56	-	 < 0.01	1.00E+00
activation of innate immune response (GO:0002218)	13	0	0.19	-	 < 0.01	1.00E+00
negative regulation of peptidase activity (GO:0010466)	24	0	0.35	-	 < 0.01	1.00E+00
endoplasmic reticulum tubular network organization (GO:0071786)	10	0	0.15	-	 < 0.01	1.00E+00
centrosome duplication (GO:0051298)	10	0	0.15	-	 < 0.01	1.00E+00
male sex differentiation (GO:0046661)	1	0	0.01	-	 < 0.01	1.00E+00
protein localization to Golgi apparatus (GO:0034067)	9	0	0.13	-	 < 0.01	1.00E+00
inner ear development (GO:0048839)	2	0	0.03	-	 < 0.01	1.00E+00
establishment of spindle orientation (GO:0051294)	11	0	0.16	-	 < 0.01	1.00E+00
cell-cell junction organization (GO:0045216)	43	0	0.63	-	 < 0.01	1.00E+00
establishment of spindle localization (GO:0051293)	18	0	0.26	-	 < 0.01	1.00E+00
sarcomere organization (GO:0045214)	15	0	0.22	-	 < 0.01	1.00E+00
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	12	0	0.18	-	 < 0.01	1.00E+00
apoptotic process (GO:0006915)	57	0	0.84	-	 < 0.01	1.00E+00
"phagocytosis, engulfment (GO:0006911)"	7	0	0.1	-	 < 0.01	1.00E+00
carboxylic acid transmembrane transport (GO:1905039)	55	0	0.81	-	 < 0.01	1.00E+00
pyridine nucleotide metabolic process (GO:0019362)	35	0	0.51	-	 < 0.01	1.00E+00
protein N-linked glycosylation via asparagine (GO:0018279)	10	0	0.15	-	 < 0.01	1.00E+00
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	2	0	0.03	-	 < 0.01	1.00E+00
somatic diversification of immune receptors (GO:0002200)	2	0	0.03	-	 < 0.01	1.00E+00
lymphocyte proliferation (GO:0046651)	1	0	0.01	-	 < 0.01	1.00E+00
regulation of macrophage activation (GO:0043030)	1	0	0.01	-	 < 0.01	1.00E+00
cellular response to BMP stimulus (GO:0071773)	18	0	0.26	-	 < 0.01	1.00E+00
response to BMP (GO:0071772)	18	0	0.26	-	 < 0.01	1.00E+00
triglyceride homeostasis (GO:0070328)	5	0	0.07	-	 < 0.01	1.00E+00
phagocytosis (GO:0006909)	21	0	0.31	-	 < 0.01	1.00E+00
ribosomal large subunit assembly (GO:0000027)	9	0	0.13	-	 < 0.01	1.00E+00
spliceosomal snRNP assembly (GO:0000387)	16	0	0.23	-	 < 0.01	1.00E+00
vesicle targeting (GO:0006903)	8	0	0.12	-	 < 0.01	1.00E+00
vesicle budding from membrane (GO:0006900)	26	0	0.38	-	 < 0.01	1.00E+00
"alternative mRNA splicing, via spliceosome (GO:0000380)"	6	0	0.09	-	 < 0.01	1.00E+00
cellular response to organic cyclic compound (GO:0071407)	24	0	0.35	-	 < 0.01	1.00E+00
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	4	0	0.06	-	 < 0.01	1.00E+00
nuclear membrane organization (GO:0071763)	4	0	0.06	-	 < 0.01	1.00E+00
central nervous system neuron differentiation (GO:0021953)	6	0	0.09	-	 < 0.01	1.00E+00
dendrite morphogenesis (GO:0048813)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of DNA recombination (GO:0000018)	7	0	0.1	-	 < 0.01	1.00E+00
granulocyte migration (GO:0097530)	3	0	0.04	-	 < 0.01	1.00E+00
anatomical structure homeostasis (GO:0060249)	4	0	0.06	-	 < 0.01	1.00E+00
camera-type eye development (GO:0043010)	27	0	0.4	-	 < 0.01	1.00E+00
telomere localization (GO:0034397)	1	0	0.01	-	 < 0.01	1.00E+00
protein depolymerization (GO:0051261)	25	0	0.37	-	 < 0.01	1.00E+00
myeloid leukocyte migration (GO:0097529)	3	0	0.04	-	 < 0.01	1.00E+00
regulation of leukocyte proliferation (GO:0070663)	5	0	0.07	-	 < 0.01	1.00E+00
leukocyte proliferation (GO:0070661)	1	0	0.01	-	 < 0.01	1.00E+00
motile cilium assembly (GO:0044458)	4	0	0.06	-	 < 0.01	1.00E+00
mitochondrial genome maintenance (GO:0000002)	6	0	0.09	-	 < 0.01	1.00E+00
ribose phosphate metabolic process (GO:0019693)	86	0	1.26	-	 < 0.01	6.40E-01
snRNA metabolic process (GO:0016073)	31	0	0.46	-	 < 0.01	1.00E+00
rRNA metabolic process (GO:0016072)	105	0	1.54	-	 < 0.01	4.11E-01
centriole replication (GO:0007099)	9	0	0.13	-	 < 0.01	1.00E+00
centrosome cycle (GO:0007098)	18	0	0.26	-	 < 0.01	1.00E+00
nuclear migration (GO:0007097)	13	0	0.19	-	 < 0.01	1.00E+00
negative regulation of double-strand break repair (GO:2000780)	7	0	0.1	-	 < 0.01	1.00E+00
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	8	0	0.12	-	 < 0.01	1.00E+00
mitotic spindle assembly checkpoint signaling (GO:0007094)	9	0	0.13	-	 < 0.01	1.00E+00
regulation of mitotic spindle organization (GO:0060236)	2	0	0.03	-	 < 0.01	1.00E+00
mitotic cell cycle checkpoint signaling (GO:0007093)	26	0	0.38	-	 < 0.01	1.00E+00
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	2	0	0.03	-	 < 0.01	1.00E+00
protein polymerization (GO:0051258)	30	0	0.44	-	 < 0.01	1.00E+00
Golgi to plasma membrane protein transport (GO:0043001)	8	0	0.12	-	 < 0.01	1.00E+00
response to temperature stimulus (GO:0009266)	12	0	0.18	-	 < 0.01	1.00E+00
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	10	0	0.15	-	 < 0.01	1.00E+00
regulation of exocytosis (GO:0017157)	26	0	0.38	-	 < 0.01	1.00E+00
negative regulation of RNA metabolic process (GO:0051253)	183	0	2.69	-	 < 0.01	1.18E-01
calcium-ion regulated exocytosis (GO:0017156)	19	0	0.28	-	 < 0.01	1.00E+00
ribonucleotide catabolic process (GO:0009261)	21	0	0.31	-	 < 0.01	1.00E+00
positive regulation of lymphocyte activation (GO:0051251)	8	0	0.12	-	 < 0.01	1.00E+00
purine nucleoside metabolic process (GO:0042278)	7	0	0.1	-	 < 0.01	1.00E+00
ribonucleotide biosynthetic process (GO:0009260)	38	0	0.56	-	 < 0.01	1.00E+00
negative regulation of lymphocyte activation (GO:0051250)	5	0	0.07	-	 < 0.01	1.00E+00
ribosomal small subunit biogenesis (GO:0042274)	45	0	0.66	-	 < 0.01	1.00E+00
ribosomal large subunit biogenesis (GO:0042273)	43	0	0.63	-	 < 0.01	1.00E+00
negative regulation of DNA-templated transcription (GO:0045892)	164	0	2.41	-	 < 0.01	1.81E-01
regulation of double-strand break repair (GO:2000779)	9	0	0.13	-	 < 0.01	1.00E+00
cardiac muscle cell action potential involved in contraction (GO:0086002)	6	0	0.09	-	 < 0.01	1.00E+00
cell-cell fusion (GO:0140253)	3	0	0.04	-	 < 0.01	1.00E+00
immunoglobulin mediated immune response (GO:0016064)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of mitotic nuclear division (GO:0007088)	25	0	0.37	-	 < 0.01	1.00E+00
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	16	0	0.23	-	 < 0.01	1.00E+00
immune system development (GO:0002520)	5	0	0.07	-	 < 0.01	1.00E+00
forebrain development (GO:0030900)	12	0	0.18	-	 < 0.01	1.00E+00
ribonucleotide metabolic process (GO:0009259)	80	0	1.17	-	 < 0.01	6.34E-01
regulation of lymphocyte activation (GO:0051249)	13	0	0.19	-	 < 0.01	1.00E+00
mitotic metaphase chromosome alignment (GO:0007080)	5	0	0.07	-	 < 0.01	1.00E+00
negative regulation of protein metabolic process (GO:0051248)	90	0	1.32	-	 < 0.01	6.45E-01
negative regulation of translation (GO:0017148)	14	0	0.21	-	 < 0.01	1.00E+00
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	2	0	0.03	-	 < 0.01	1.00E+00
negative regulation of multicellular organismal process (GO:0051241)	34	0	0.5	-	 < 0.01	1.00E+00
positive regulation of TORC1 signaling (GO:1904263)	12	0	0.18	-	 < 0.01	1.00E+00
negative regulation of TORC1 signaling (GO:1904262)	6	0	0.09	-	 < 0.01	1.00E+00
glucan biosynthetic process (GO:0009250)	2	0	0.03	-	 < 0.01	1.00E+00
protein modification by small protein removal (GO:0070646)	65	0	0.95	-	 < 0.01	1.00E+00
hexose biosynthetic process (GO:0019319)	8	0	0.12	-	 < 0.01	1.00E+00
hexose metabolic process (GO:0019318)	24	0	0.35	-	 < 0.01	1.00E+00
organic acid catabolic process (GO:0016054)	76	0	1.12	-	 < 0.01	6.31E-01
mannosylation (GO:0097502)	8	0	0.12	-	 < 0.01	1.00E+00
organic acid biosynthetic process (GO:0016053)	60	0	0.88	-	 < 0.01	1.00E+00
regulation of lymphocyte migration (GO:2000401)	4	0	0.06	-	 < 0.01	1.00E+00
carbohydrate catabolic process (GO:0016052)	32	0	0.47	-	 < 0.01	1.00E+00
carbohydrate biosynthetic process (GO:0016051)	19	0	0.28	-	 < 0.01	1.00E+00
mitotic chromosome condensation (GO:0007076)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of centrosome cycle (GO:0046605)	6	0	0.09	-	 < 0.01	1.00E+00
glycolipid biosynthetic process (GO:0009247)	32	0	0.47	-	 < 0.01	1.00E+00
establishment of RNA localization (GO:0051236)	41	0	0.6	-	 < 0.01	1.00E+00
maintenance of location (GO:0051235)	26	0	0.38	-	 < 0.01	1.00E+00
cell growth (GO:0016049)	5	0	0.07	-	 < 0.01	1.00E+00
actin polymerization or depolymerization (GO:0008154)	30	0	0.44	-	 < 0.01	1.00E+00
cell cycle DNA replication (GO:0044786)	12	0	0.18	-	 < 0.01	1.00E+00
lipid catabolic process (GO:0016042)	72	0	1.06	-	 < 0.01	6.29E-01
metaphase/anaphase transition of cell cycle (GO:0044784)	2	0	0.03	-	 < 0.01	1.00E+00
mitotic sister chromatid cohesion (GO:0007064)	8	0	0.12	-	 < 0.01	1.00E+00
sister chromatid cohesion (GO:0007062)	16	0	0.23	-	 < 0.01	1.00E+00
septin cytoskeleton organization (GO:0032185)	3	0	0.04	-	 < 0.01	1.00E+00
peptidyl-tyrosine modification (GO:0018212)	9	0	0.13	-	 < 0.01	1.00E+00
spindle assembly (GO:0051225)	25	0	0.37	-	 < 0.01	1.00E+00
developmental growth involved in morphogenesis (GO:0060560)	5	0	0.07	-	 < 0.01	1.00E+00
regeneration (GO:0031099)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of protein transport (GO:0051223)	13	0	0.19	-	 < 0.01	1.00E+00
positive regulation of protein transport (GO:0051222)	4	0	0.06	-	 < 0.01	1.00E+00
detection of chemical stimulus (GO:0009593)	5	0	0.07	-	 < 0.01	1.00E+00
tissue regeneration (GO:0042246)	2	0	0.03	-	 < 0.01	1.00E+00
plasma membrane phospholipid scrambling (GO:0017121)	5	0	0.07	-	 < 0.01	1.00E+00
positive regulation of proteolysis (GO:0045862)	42	0	0.62	-	 < 0.01	1.00E+00
negative regulation of proteolysis (GO:0045861)	29	0	0.43	-	 < 0.01	1.00E+00
positive regulation of protein kinase activity (GO:0045860)	30	0	0.44	-	 < 0.01	1.00E+00
nuclear DNA replication (GO:0033260)	12	0	0.18	-	 < 0.01	1.00E+00
mitotic DNA integrity checkpoint signaling (GO:0044774)	14	0	0.21	-	 < 0.01	1.00E+00
cytoskeleton-dependent cytokinesis (GO:0061640)	32	0	0.47	-	 < 0.01	1.00E+00
mitotic DNA damage checkpoint signaling (GO:0044773)	13	0	0.19	-	 < 0.01	1.00E+00
mitotic cell cycle phase transition (GO:0044772)	36	0	0.53	-	 < 0.01	1.00E+00
cell cycle phase transition (GO:0044770)	36	0	0.53	-	 < 0.01	1.00E+00
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	7	0	0.1	-	 < 0.01	1.00E+00
cartilage development (GO:0051216)	10	0	0.15	-	 < 0.01	1.00E+00
nucleotide-sugar metabolic process (GO:0009225)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of protein kinase activity (GO:0045859)	85	0	1.25	-	 < 0.01	6.39E-01
morphogenesis of a branching structure (GO:0001763)	1	0	0.01	-	 < 0.01	1.00E+00
protein K11-linked ubiquitination (GO:0070979)	7	0	0.1	-	 < 0.01	1.00E+00
glucose homeostasis (GO:0042593)	9	0	0.13	-	 < 0.01	1.00E+00
aerobic electron transport chain (GO:0019646)	4	0	0.06	-	 < 0.01	1.00E+00
cell-substrate junction assembly (GO:0007044)	1	0	0.01	-	 < 0.01	1.00E+00
cell-cell junction assembly (GO:0007043)	37	0	0.54	-	 < 0.01	1.00E+00
lysosome organization (GO:0007040)	14	0	0.21	-	 < 0.01	1.00E+00
protein insertion into membrane (GO:0051205)	6	0	0.09	-	 < 0.01	1.00E+00
adherens junction organization (GO:0034332)	23	0	0.34	-	 < 0.01	1.00E+00
mitochondrial calcium ion homeostasis (GO:0051560)	10	0	0.15	-	 < 0.01	1.00E+00
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	9	0	0.13	-	 < 0.01	1.00E+00
positive regulation of mitotic nuclear division (GO:0045840)	10	0	0.15	-	 < 0.01	1.00E+00
response to reactive oxygen species (GO:0000302)	8	0	0.12	-	 < 0.01	1.00E+00
meiosis I cell cycle process (GO:0061982)	30	0	0.44	-	 < 0.01	1.00E+00
protein localization to synapse (GO:0035418)	15	0	0.22	-	 < 0.01	1.00E+00
skeletal muscle organ development (GO:0060538)	16	0	0.23	-	 < 0.01	1.00E+00
vacuole organization (GO:0007033)	67	0	0.98	-	 < 0.01	6.28E-01
regulation of neurotransmitter secretion (GO:0046928)	17	0	0.25	-	 < 0.01	1.00E+00
muscle tissue development (GO:0060537)	31	0	0.46	-	 < 0.01	1.00E+00
endosome organization (GO:0007032)	13	0	0.19	-	 < 0.01	1.00E+00
positive regulation of response to biotic stimulus (GO:0002833)	21	0	0.31	-	 < 0.01	1.00E+00
peroxisome organization (GO:0007031)	20	0	0.29	-	 < 0.01	1.00E+00
Golgi organization (GO:0007030)	46	0	0.68	-	 < 0.01	1.00E+00
regulation of response to biotic stimulus (GO:0002831)	26	0	0.38	-	 < 0.01	1.00E+00
regulation of phosphoprotein phosphatase activity (GO:0043666)	5	0	0.07	-	 < 0.01	1.00E+00
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	2	0	0.03	-	 < 0.01	1.00E+00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	21	0	0.31	-	 < 0.01	1.00E+00
fertilization (GO:0009566)	7	0	0.1	-	 < 0.01	1.00E+00
negative regulation of mitotic nuclear division (GO:0045839)	9	0	0.13	-	 < 0.01	1.00E+00
ribonucleoside triphosphate biosynthetic process (GO:0009201)	4	0	0.06	-	 < 0.01	1.00E+00
retinol metabolic process (GO:0042572)	3	0	0.04	-	 < 0.01	1.00E+00
translesion synthesis (GO:0019985)	11	0	0.16	-	 < 0.01	1.00E+00
endoplasmic reticulum organization (GO:0007029)	23	0	0.34	-	 < 0.01	1.00E+00
protein transmembrane import into intracellular organelle (GO:0044743)	22	0	0.32	-	 < 0.01	1.00E+00
activation of protein kinase activity (GO:0032147)	8	0	0.12	-	 < 0.01	1.00E+00
microtubule nucleation (GO:0007020)	16	0	0.23	-	 < 0.01	1.00E+00
positive regulation of adaptive immune response (GO:0002821)	2	0	0.03	-	 < 0.01	1.00E+00
mismatch repair (GO:0006298)	11	0	0.16	-	 < 0.01	1.00E+00
Arp2/3 complex-mediated actin nucleation (GO:0034314)	13	0	0.19	-	 < 0.01	1.00E+00
pre-miRNA processing (GO:0031054)	6	0	0.09	-	 < 0.01	1.00E+00
primary miRNA processing (GO:0031053)	2	0	0.03	-	 < 0.01	1.00E+00
negative regulation of innate immune response (GO:0045824)	3	0	0.04	-	 < 0.01	1.00E+00
dendrite development (GO:0016358)	9	0	0.13	-	 < 0.01	1.00E+00
microtubule depolymerization (GO:0007019)	11	0	0.16	-	 < 0.01	1.00E+00
epigenetic regulation of gene expression (GO:0040029)	37	0	0.54	-	 < 0.01	1.00E+00
dicarboxylic acid metabolic process (GO:0043648)	16	0	0.23	-	 < 0.01	1.00E+00
response to lipopolysaccharide (GO:0032496)	14	0	0.21	-	 < 0.01	1.00E+00
nucleotide-excision repair (GO:0006289)	23	0	0.34	-	 < 0.01	1.00E+00
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	17	0	0.25	-	 < 0.01	1.00E+00
regulatory ncRNA-mediated gene silencing (GO:0031047)	31	0	0.46	-	 < 0.01	1.00E+00
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	19	0	0.28	-	 < 0.01	1.00E+00
base-excision repair (GO:0006284)	13	0	0.19	-	 < 0.01	1.00E+00
regulation of DNA repair (GO:0006282)	17	0	0.25	-	 < 0.01	1.00E+00
DNA repair (GO:0006281)	182	0	2.67	-	 < 0.01	1.18E-01
"negative regulation of gene expression, epigenetic (GO:0045814)"	30	0	0.44	-	 < 0.01	1.00E+00
nucleoside phosphate biosynthetic process (GO:1901293)	63	0	0.93	-	 < 0.01	1.00E+00
nucleoside phosphate catabolic process (GO:1901292)	34	0	0.5	-	 < 0.01	1.00E+00
protein K48-linked ubiquitination (GO:0070936)	9	0	0.13	-	 < 0.01	1.00E+00
myelination (GO:0042552)	12	0	0.18	-	 < 0.01	1.00E+00
gastrulation (GO:0007369)	13	0	0.19	-	 < 0.01	1.00E+00
inner mitochondrial membrane organization (GO:0007007)	12	0	0.18	-	 < 0.01	1.00E+00
mitochondrial membrane organization (GO:0007006)	15	0	0.22	-	 < 0.01	1.00E+00
mitochondrion organization (GO:0007005)	114	0	1.67	-	 < 0.01	4.19E-01
regulation of cilium assembly (GO:1902017)	5	0	0.07	-	 < 0.01	1.00E+00
telomere maintenance via telomerase (GO:0007004)	6	0	0.09	-	 < 0.01	1.00E+00
"vesicle targeting, to, from or within Golgi (GO:0048199)"	4	0	0.06	-	 < 0.01	1.00E+00
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	4	0	0.06	-	 < 0.01	1.00E+00
positive regulation of type I interferon production (GO:0032481)	2	0	0.03	-	 < 0.01	1.00E+00
Golgi vesicle transport (GO:0048193)	128	0	1.88	-	 < 0.01	2.69E-01
modification-dependent macromolecule catabolic process (GO:0043632)	219	0	3.22	-	 < 0.01	8.10E-02
positive regulation of catabolic process (GO:0009896)	72	0	1.06	-	 < 0.01	6.29E-01
negative regulation of catabolic process (GO:0009895)	36	0	0.53	-	 < 0.01	1.00E+00
nucleobase-containing small molecule catabolic process (GO:0034656)	8	0	0.12	-	 < 0.01	1.00E+00
nucleobase-containing compound catabolic process (GO:0034655)	101	0	1.48	-	 < 0.01	4.09E-01
positive regulation of endocytosis (GO:0045807)	3	0	0.04	-	 < 0.01	1.00E+00
negative regulation of protein ubiquitination (GO:0031397)	6	0	0.09	-	 < 0.01	1.00E+00
nucleobase-containing compound biosynthetic process (GO:0034654)	183	0	2.69	-	 < 0.01	1.18E-01
negative regulation of metabolic process (GO:0009892)	406	0	5.96	-	 < 0.01	4.91E-03
DNA strand elongation involved in DNA replication (GO:0006271)	12	0	0.18	-	 < 0.01	1.00E+00
negative regulation of biosynthetic process (GO:0009890)	301	0	4.42	-	 < 0.01	2.45E-02
DNA replication initiation (GO:0006270)	16	0	0.23	-	 < 0.01	1.00E+00
tumor necrosis factor-mediated signaling pathway (GO:0033209)	4	0	0.06	-	 < 0.01	1.00E+00
reciprocal homologous recombination (GO:0140527)	23	0	0.34	-	 < 0.01	1.00E+00
regulation of insulin secretion (GO:0050796)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	24	0	0.35	-	 < 0.01	1.00E+00
negative regulation of RNA catabolic process (GO:1902369)	15	0	0.22	-	 < 0.01	1.00E+00
intraciliary transport involved in cilium assembly (GO:0035735)	4	0	0.06	-	 < 0.01	1.00E+00
growth (GO:0040007)	7	0	0.1	-	 < 0.01	1.00E+00
cell fate specification (GO:0001708)	30	0	0.44	-	 < 0.01	1.00E+00
mesoderm formation (GO:0001707)	7	0	0.1	-	 < 0.01	1.00E+00
DNA unwinding involved in DNA replication (GO:0006268)	7	0	0.1	-	 < 0.01	1.00E+00
endoderm formation (GO:0001706)	7	0	0.1	-	 < 0.01	1.00E+00
establishment of mitotic spindle localization (GO:0040001)	13	0	0.19	-	 < 0.01	1.00E+00
formation of primary germ layer (GO:0001704)	13	0	0.19	-	 < 0.01	1.00E+00
microtubule organizing center organization (GO:0031023)	22	0	0.32	-	 < 0.01	1.00E+00
regulatory ncRNA processing (GO:0070918)	22	0	0.32	-	 < 0.01	1.00E+00
DNA-templated DNA replication (GO:0006261)	66	0	0.97	-	 < 0.01	1.00E+00
DNA replication (GO:0006260)	72	0	1.06	-	 < 0.01	6.29E-01
regulation of receptor signaling pathway via STAT (GO:1904892)	9	0	0.13	-	 < 0.01	1.00E+00
unsaturated fatty acid metabolic process (GO:0033559)	9	0	0.13	-	 < 0.01	1.00E+00
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	5	0	0.07	-	 < 0.01	1.00E+00
post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	2	0	0.03	-	 < 0.01	1.00E+00
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	5	0	0.07	-	 < 0.01	1.00E+00
modification-dependent protein catabolic process (GO:0019941)	215	0	3.16	-	 < 0.01	7.99E-02
regulation of mitotic cell cycle (GO:0007346)	84	0	1.23	-	 < 0.01	6.38E-01
positive regulation of response to external stimulus (GO:0032103)	29	0	0.43	-	 < 0.01	1.00E+00
regulation of cytokinesis (GO:0032465)	6	0	0.09	-	 < 0.01	1.00E+00
negative regulation of response to external stimulus (GO:0032102)	16	0	0.23	-	 < 0.01	1.00E+00
regulation of response to external stimulus (GO:0032101)	50	0	0.73	-	 < 0.01	1.00E+00
