PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	intersection.fst.csv (60)	intersection.fst.csv (expected)	intersection.fst.csv (over/under)	intersection.fst.csv (fold Enrichment)	P-value
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	12	0	0.06	-	 < 0.01	1.00E+00
nucleocytoplasmic transport (GO:0006913)	83	0	0.4	-	 < 0.01	1.00E+00
"phagocytosis, engulfment (GO:0006911)"	5	0	0.02	-	 < 0.01	1.00E+00
calcium ion transmembrane import into cytosol (GO:0097553)	29	0	0.14	-	 < 0.01	1.00E+00
carboxylic acid transmembrane transport (GO:1905039)	55	0	0.27	-	 < 0.01	1.00E+00
pyridine nucleotide metabolic process (GO:0019362)	35	0	0.17	-	 < 0.01	1.00E+00
cellular response to organonitrogen compound (GO:0071417)	50	0	0.24	-	 < 0.01	1.00E+00
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	2	0	0.01	-	 < 0.01	1.00E+00
somatic diversification of immune receptors (GO:0002200)	2	0	0.01	-	 < 0.01	1.00E+00
response to fibroblast growth factor (GO:0071774)	25	0	0.12	-	 < 0.01	1.00E+00
lymphocyte proliferation (GO:0046651)	1	0	0	-	 < 0.01	1.00E+00
regulation of macrophage activation (GO:0043030)	1	0	0	-	 < 0.01	1.00E+00
cellular response to BMP stimulus (GO:0071773)	18	0	0.09	-	 < 0.01	1.00E+00
response to BMP (GO:0071772)	18	0	0.09	-	 < 0.01	1.00E+00
negative regulation of sequestering of calcium ion (GO:0051283)	21	0	0.1	-	 < 0.01	1.00E+00
triglyceride homeostasis (GO:0070328)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of sequestering of calcium ion (GO:0051282)	25	0	0.12	-	 < 0.01	1.00E+00
phagocytosis (GO:0006909)	19	0	0.09	-	 < 0.01	1.00E+00
vesicle fusion (GO:0006906)	46	0	0.22	-	 < 0.01	1.00E+00
ribosomal large subunit assembly (GO:0000027)	9	0	0.04	-	 < 0.01	1.00E+00
spliceosomal snRNP assembly (GO:0000387)	16	0	0.08	-	 < 0.01	1.00E+00
vesicle targeting (GO:0006903)	8	0	0.04	-	 < 0.01	1.00E+00
vesicle budding from membrane (GO:0006900)	26	0	0.13	-	 < 0.01	1.00E+00
"regulation of alternative mRNA splicing, via spliceosome (GO:0000381)"	22	0	0.11	-	 < 0.01	1.00E+00
"alternative mRNA splicing, via spliceosome (GO:0000380)"	6	0	0.03	-	 < 0.01	1.00E+00
lymphocyte activation (GO:0046649)	15	0	0.07	-	 < 0.01	1.00E+00
cellular response to organic cyclic compound (GO:0071407)	24	0	0.12	-	 < 0.01	1.00E+00
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	4	0	0.02	-	 < 0.01	1.00E+00
nuclear membrane organization (GO:0071763)	4	0	0.02	-	 < 0.01	1.00E+00
central nervous system neuron differentiation (GO:0021953)	6	0	0.03	-	 < 0.01	1.00E+00
dendrite morphogenesis (GO:0048813)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of DNA recombination (GO:0000018)	7	0	0.03	-	 < 0.01	1.00E+00
granulocyte migration (GO:0097530)	3	0	0.01	-	 < 0.01	1.00E+00
camera-type eye development (GO:0043010)	27	0	0.13	-	 < 0.01	1.00E+00
telomere localization (GO:0034397)	1	0	0	-	 < 0.01	1.00E+00
protein depolymerization (GO:0051261)	24	0	0.12	-	 < 0.01	1.00E+00
myeloid leukocyte migration (GO:0097529)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of leukocyte proliferation (GO:0070663)	5	0	0.02	-	 < 0.01	1.00E+00
synaptic vesicle exocytosis (GO:0016079)	25	0	0.12	-	 < 0.01	1.00E+00
reproduction (GO:0000003)	83	0	0.4	-	 < 0.01	1.00E+00
leukocyte proliferation (GO:0070661)	1	0	0	-	 < 0.01	1.00E+00
motile cilium assembly (GO:0044458)	4	0	0.02	-	 < 0.01	1.00E+00
mitochondrial genome maintenance (GO:0000002)	6	0	0.03	-	 < 0.01	1.00E+00
ribose phosphate metabolic process (GO:0019693)	85	0	0.41	-	 < 0.01	1.00E+00
snRNA metabolic process (GO:0016073)	30	0	0.14	-	 < 0.01	1.00E+00
rRNA metabolic process (GO:0016072)	105	0	0.51	-	 < 0.01	1.00E+00
nuclear migration (GO:0007097)	13	0	0.06	-	 < 0.01	1.00E+00
negative regulation of double-strand break repair (GO:2000780)	7	0	0.03	-	 < 0.01	1.00E+00
chordate embryonic development (GO:0043009)	18	0	0.09	-	 < 0.01	1.00E+00
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	8	0	0.04	-	 < 0.01	1.00E+00
mitotic spindle assembly checkpoint signaling (GO:0007094)	9	0	0.04	-	 < 0.01	1.00E+00
regulation of mitotic spindle organization (GO:0060236)	2	0	0.01	-	 < 0.01	1.00E+00
mitotic cell cycle checkpoint signaling (GO:0007093)	25	0	0.12	-	 < 0.01	1.00E+00
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	2	0	0.01	-	 < 0.01	1.00E+00
protein polymerization (GO:0051258)	30	0	0.14	-	 < 0.01	1.00E+00
cellular response to starvation (GO:0009267)	26	0	0.13	-	 < 0.01	1.00E+00
Golgi to plasma membrane protein transport (GO:0043001)	8	0	0.04	-	 < 0.01	1.00E+00
response to temperature stimulus (GO:0009266)	12	0	0.06	-	 < 0.01	1.00E+00
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	10	0	0.05	-	 < 0.01	1.00E+00
calcium-ion regulated exocytosis (GO:0017156)	18	0	0.09	-	 < 0.01	1.00E+00
ribonucleotide catabolic process (GO:0009261)	21	0	0.1	-	 < 0.01	1.00E+00
positive regulation of lymphocyte activation (GO:0051251)	8	0	0.04	-	 < 0.01	1.00E+00
purine nucleoside metabolic process (GO:0042278)	7	0	0.03	-	 < 0.01	1.00E+00
ribonucleotide biosynthetic process (GO:0009260)	37	0	0.18	-	 < 0.01	1.00E+00
negative regulation of lymphocyte activation (GO:0051250)	5	0	0.02	-	 < 0.01	1.00E+00
ribosomal small subunit biogenesis (GO:0042274)	45	0	0.22	-	 < 0.01	1.00E+00
ribosomal large subunit biogenesis (GO:0042273)	43	0	0.21	-	 < 0.01	1.00E+00
regulation of double-strand break repair (GO:2000779)	9	0	0.04	-	 < 0.01	1.00E+00
cardiac muscle cell action potential involved in contraction (GO:0086002)	5	0	0.02	-	 < 0.01	1.00E+00
cell-cell fusion (GO:0140253)	3	0	0.01	-	 < 0.01	1.00E+00
immunoglobulin mediated immune response (GO:0016064)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of mitotic nuclear division (GO:0007088)	24	0	0.12	-	 < 0.01	1.00E+00
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	16	0	0.08	-	 < 0.01	1.00E+00
leukocyte differentiation (GO:0002521)	16	0	0.08	-	 < 0.01	1.00E+00
immune system development (GO:0002520)	5	0	0.02	-	 < 0.01	1.00E+00
forebrain development (GO:0030900)	11	0	0.05	-	 < 0.01	1.00E+00
ribonucleotide metabolic process (GO:0009259)	79	0	0.38	-	 < 0.01	1.00E+00
regulation of lymphocyte activation (GO:0051249)	13	0	0.06	-	 < 0.01	1.00E+00
mitotic metaphase chromosome alignment (GO:0007080)	5	0	0.02	-	 < 0.01	1.00E+00
negative regulation of protein metabolic process (GO:0051248)	89	0	0.43	-	 < 0.01	1.00E+00
positive regulation of protein metabolic process (GO:0051247)	148	0	0.71	-	 < 0.01	1.00E+00
regulation of protein metabolic process (GO:0051246)	294	0	1.42	-	 < 0.01	4.06E-01
negative regulation of translation (GO:0017148)	14	0	0.07	-	 < 0.01	1.00E+00
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	2	0	0.01	-	 < 0.01	1.00E+00
negative regulation of multicellular organismal process (GO:0051241)	34	0	0.16	-	 < 0.01	1.00E+00
positive regulation of TORC1 signaling (GO:1904263)	11	0	0.05	-	 < 0.01	1.00E+00
negative regulation of TORC1 signaling (GO:1904262)	6	0	0.03	-	 < 0.01	1.00E+00
glucan biosynthetic process (GO:0009250)	2	0	0.01	-	 < 0.01	1.00E+00
protein modification by small protein conjugation or removal (GO:0070647)	265	0	1.28	-	 < 0.01	6.41E-01
protein modification by small protein removal (GO:0070646)	65	0	0.31	-	 < 0.01	1.00E+00
organic acid catabolic process (GO:0016054)	76	0	0.37	-	 < 0.01	1.00E+00
mannosylation (GO:0097502)	8	0	0.04	-	 < 0.01	1.00E+00
organic acid biosynthetic process (GO:0016053)	60	0	0.29	-	 < 0.01	1.00E+00
regulation of lymphocyte migration (GO:2000401)	4	0	0.02	-	 < 0.01	1.00E+00
carbohydrate catabolic process (GO:0016052)	32	0	0.15	-	 < 0.01	1.00E+00
vesicle organization (GO:0016050)	101	0	0.49	-	 < 0.01	1.00E+00
mitotic chromosome condensation (GO:0007076)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of centrosome cycle (GO:0046605)	6	0	0.03	-	 < 0.01	1.00E+00
glycolipid biosynthetic process (GO:0009247)	30	0	0.14	-	 < 0.01	1.00E+00
establishment of RNA localization (GO:0051236)	41	0	0.2	-	 < 0.01	1.00E+00
maintenance of location (GO:0051235)	26	0	0.13	-	 < 0.01	1.00E+00
spindle elongation (GO:0051231)	7	0	0.03	-	 < 0.01	1.00E+00
ribosome biogenesis (GO:0042254)	132	0	0.64	-	 < 0.01	1.00E+00
cell growth (GO:0016049)	5	0	0.02	-	 < 0.01	1.00E+00
actin polymerization or depolymerization (GO:0008154)	30	0	0.14	-	 < 0.01	1.00E+00
cell cycle DNA replication (GO:0044786)	12	0	0.06	-	 < 0.01	1.00E+00
lipid catabolic process (GO:0016042)	71	0	0.34	-	 < 0.01	1.00E+00
metaphase/anaphase transition of cell cycle (GO:0044784)	2	0	0.01	-	 < 0.01	1.00E+00
cilium organization (GO:0044782)	129	0	0.62	-	 < 0.01	1.00E+00
mitotic sister chromatid cohesion (GO:0007064)	7	0	0.03	-	 < 0.01	1.00E+00
sister chromatid cohesion (GO:0007062)	15	0	0.07	-	 < 0.01	1.00E+00
septin cytoskeleton organization (GO:0032185)	2	0	0.01	-	 < 0.01	1.00E+00
peptidyl-tyrosine modification (GO:0018212)	9	0	0.04	-	 < 0.01	1.00E+00
spindle assembly (GO:0051225)	25	0	0.12	-	 < 0.01	1.00E+00
developmental growth involved in morphogenesis (GO:0060560)	5	0	0.02	-	 < 0.01	1.00E+00
regeneration (GO:0031099)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of protein transport (GO:0051223)	13	0	0.06	-	 < 0.01	1.00E+00
cell activation (GO:0001775)	28	0	0.14	-	 < 0.01	1.00E+00
positive regulation of protein transport (GO:0051222)	4	0	0.02	-	 < 0.01	1.00E+00
detection of chemical stimulus (GO:0009593)	5	0	0.02	-	 < 0.01	1.00E+00
tissue regeneration (GO:0042246)	2	0	0.01	-	 < 0.01	1.00E+00
plasma membrane phospholipid scrambling (GO:0017121)	5	0	0.02	-	 < 0.01	1.00E+00
positive regulation of proteolysis (GO:0045862)	42	0	0.2	-	 < 0.01	1.00E+00
negative regulation of proteolysis (GO:0045861)	29	0	0.14	-	 < 0.01	1.00E+00
biological process involved in interspecies interaction between organisms (GO:0044419)	44	0	0.21	-	 < 0.01	1.00E+00
positive regulation of protein kinase activity (GO:0045860)	30	0	0.14	-	 < 0.01	1.00E+00
nuclear DNA replication (GO:0033260)	12	0	0.06	-	 < 0.01	1.00E+00
mitotic DNA integrity checkpoint signaling (GO:0044774)	14	0	0.07	-	 < 0.01	1.00E+00
cytoskeleton-dependent cytokinesis (GO:0061640)	31	0	0.15	-	 < 0.01	1.00E+00
peptidyl-serine modification (GO:0018209)	75	0	0.36	-	 < 0.01	1.00E+00
mitotic DNA damage checkpoint signaling (GO:0044773)	13	0	0.06	-	 < 0.01	1.00E+00
mitotic cell cycle phase transition (GO:0044772)	35	0	0.17	-	 < 0.01	1.00E+00
cell cycle phase transition (GO:0044770)	35	0	0.17	-	 < 0.01	1.00E+00
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	6	0	0.03	-	 < 0.01	1.00E+00
mitotic spindle organization (GO:0007052)	32	0	0.15	-	 < 0.01	1.00E+00
spindle organization (GO:0007051)	48	0	0.23	-	 < 0.01	1.00E+00
nitrogen compound transport (GO:0071705)	365	0	1.76	-	 < 0.01	4.25E-01
cartilage development (GO:0051216)	8	0	0.04	-	 < 0.01	1.00E+00
carboxylic acid transport (GO:0046942)	102	0	0.49	-	 < 0.01	1.00E+00
nucleotide-sugar metabolic process (GO:0009225)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of protein kinase activity (GO:0045859)	85	0	0.41	-	 < 0.01	1.00E+00
neuron migration (GO:0001764)	9	0	0.04	-	 < 0.01	1.00E+00
morphogenesis of a branching structure (GO:0001763)	1	0	0	-	 < 0.01	1.00E+00
protein K11-linked ubiquitination (GO:0070979)	7	0	0.03	-	 < 0.01	1.00E+00
response to starvation (GO:0042594)	33	0	0.16	-	 < 0.01	1.00E+00
glucose homeostasis (GO:0042593)	9	0	0.04	-	 < 0.01	1.00E+00
protein localization to endoplasmic reticulum (GO:0070972)	25	0	0.12	-	 < 0.01	1.00E+00
aerobic electron transport chain (GO:0019646)	4	0	0.02	-	 < 0.01	1.00E+00
cell-substrate junction assembly (GO:0007044)	1	0	0	-	 < 0.01	1.00E+00
cell-cell junction assembly (GO:0007043)	37	0	0.18	-	 < 0.01	1.00E+00
lysosome organization (GO:0007040)	14	0	0.07	-	 < 0.01	1.00E+00
release of sequestered calcium ion into cytosol (GO:0051209)	19	0	0.09	-	 < 0.01	1.00E+00
protein insertion into membrane (GO:0051205)	6	0	0.03	-	 < 0.01	1.00E+00
neural crest cell migration (GO:0001755)	28	0	0.14	-	 < 0.01	1.00E+00
adherens junction organization (GO:0034332)	23	0	0.11	-	 < 0.01	1.00E+00
mitochondrial calcium ion homeostasis (GO:0051560)	10	0	0.05	-	 < 0.01	1.00E+00
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	9	0	0.04	-	 < 0.01	1.00E+00
positive regulation of mitotic nuclear division (GO:0045840)	9	0	0.04	-	 < 0.01	1.00E+00
ERAD pathway (GO:0036503)	39	0	0.19	-	 < 0.01	1.00E+00
response to reactive oxygen species (GO:0000302)	8	0	0.04	-	 < 0.01	1.00E+00
mononuclear cell differentiation (GO:1903131)	11	0	0.05	-	 < 0.01	1.00E+00
meiosis I cell cycle process (GO:0061982)	30	0	0.14	-	 < 0.01	1.00E+00
protein localization to synapse (GO:0035418)	15	0	0.07	-	 < 0.01	1.00E+00
vacuolar acidification (GO:0007035)	10	0	0.05	-	 < 0.01	1.00E+00
vacuole organization (GO:0007033)	66	0	0.32	-	 < 0.01	1.00E+00
regulation of neurotransmitter secretion (GO:0046928)	17	0	0.08	-	 < 0.01	1.00E+00
endosome organization (GO:0007032)	13	0	0.06	-	 < 0.01	1.00E+00
positive regulation of response to biotic stimulus (GO:0002833)	20	0	0.1	-	 < 0.01	1.00E+00
peroxisome organization (GO:0007031)	20	0	0.1	-	 < 0.01	1.00E+00
Golgi organization (GO:0007030)	46	0	0.22	-	 < 0.01	1.00E+00
regulation of phosphoprotein phosphatase activity (GO:0043666)	5	0	0.02	-	 < 0.01	1.00E+00
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	2	0	0.01	-	 < 0.01	1.00E+00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	21	0	0.1	-	 < 0.01	1.00E+00
positive regulation of cell development (GO:0010720)	32	0	0.15	-	 < 0.01	1.00E+00
fertilization (GO:0009566)	6	0	0.03	-	 < 0.01	1.00E+00
negative regulation of mitotic nuclear division (GO:0045839)	9	0	0.04	-	 < 0.01	1.00E+00
ribonucleoside triphosphate biosynthetic process (GO:0009201)	4	0	0.02	-	 < 0.01	1.00E+00
retinol metabolic process (GO:0042572)	3	0	0.01	-	 < 0.01	1.00E+00
translesion synthesis (GO:0019985)	11	0	0.05	-	 < 0.01	1.00E+00
endoplasmic reticulum organization (GO:0007029)	23	0	0.11	-	 < 0.01	1.00E+00
pattern specification process (GO:0007389)	49	0	0.24	-	 < 0.01	1.00E+00
protein transmembrane import into intracellular organelle (GO:0044743)	21	0	0.1	-	 < 0.01	1.00E+00
activation of protein kinase activity (GO:0032147)	8	0	0.04	-	 < 0.01	1.00E+00
microtubule nucleation (GO:0007020)	16	0	0.08	-	 < 0.01	1.00E+00
positive regulation of adaptive immune response (GO:0002821)	2	0	0.01	-	 < 0.01	1.00E+00
mismatch repair (GO:0006298)	11	0	0.05	-	 < 0.01	1.00E+00
Arp2/3 complex-mediated actin nucleation (GO:0034314)	13	0	0.06	-	 < 0.01	1.00E+00
pre-miRNA processing (GO:0031054)	6	0	0.03	-	 < 0.01	1.00E+00
primary miRNA processing (GO:0031053)	2	0	0.01	-	 < 0.01	1.00E+00
defense response to symbiont (GO:0140546)	29	0	0.14	-	 < 0.01	1.00E+00
dendrite development (GO:0016358)	9	0	0.04	-	 < 0.01	1.00E+00
microtubule depolymerization (GO:0007019)	10	0	0.05	-	 < 0.01	1.00E+00
actin filament organization (GO:0007015)	131	0	0.63	-	 < 0.01	1.00E+00
epigenetic regulation of gene expression (GO:0040029)	36	0	0.17	-	 < 0.01	1.00E+00
dicarboxylic acid metabolic process (GO:0043648)	16	0	0.08	-	 < 0.01	1.00E+00
response to lipopolysaccharide (GO:0032496)	13	0	0.06	-	 < 0.01	1.00E+00
nucleotide-excision repair (GO:0006289)	23	0	0.11	-	 < 0.01	1.00E+00
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	17	0	0.08	-	 < 0.01	1.00E+00
regulatory ncRNA-mediated gene silencing (GO:0031047)	28	0	0.14	-	 < 0.01	1.00E+00
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	19	0	0.09	-	 < 0.01	1.00E+00
base-excision repair (GO:0006284)	13	0	0.06	-	 < 0.01	1.00E+00
regulation of DNA repair (GO:0006282)	17	0	0.08	-	 < 0.01	1.00E+00
"negative regulation of gene expression, epigenetic (GO:0045814)"	29	0	0.14	-	 < 0.01	1.00E+00
nucleoside phosphate biosynthetic process (GO:1901293)	62	0	0.3	-	 < 0.01	1.00E+00
nucleoside phosphate catabolic process (GO:1901292)	34	0	0.16	-	 < 0.01	1.00E+00
protein K48-linked ubiquitination (GO:0070936)	9	0	0.04	-	 < 0.01	1.00E+00
myelination (GO:0042552)	10	0	0.05	-	 < 0.01	1.00E+00
plasma membrane organization (GO:0007009)	23	0	0.11	-	 < 0.01	1.00E+00
gastrulation (GO:0007369)	13	0	0.06	-	 < 0.01	1.00E+00
inner mitochondrial membrane organization (GO:0007007)	12	0	0.06	-	 < 0.01	1.00E+00
determination of left/right symmetry (GO:0007368)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of cilium assembly (GO:1902017)	5	0	0.02	-	 < 0.01	1.00E+00
telomere maintenance via telomerase (GO:0007004)	6	0	0.03	-	 < 0.01	1.00E+00
"vesicle targeting, to, from or within Golgi (GO:0048199)"	4	0	0.02	-	 < 0.01	1.00E+00
positive regulation of locomotion (GO:0040017)	53	0	0.26	-	 < 0.01	1.00E+00
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	4	0	0.02	-	 < 0.01	1.00E+00
negative regulation of locomotion (GO:0040013)	11	0	0.05	-	 < 0.01	1.00E+00
positive regulation of type I interferon production (GO:0032481)	2	0	0.01	-	 < 0.01	1.00E+00
modification-dependent macromolecule catabolic process (GO:0043632)	214	0	1.03	-	 < 0.01	6.28E-01
regulation of locomotion (GO:0040012)	97	0	0.47	-	 < 0.01	1.00E+00
positive regulation of catabolic process (GO:0009896)	72	0	0.35	-	 < 0.01	1.00E+00
regulation of protein modification process (GO:0031399)	154	0	0.74	-	 < 0.01	1.00E+00
negative regulation of catabolic process (GO:0009895)	34	0	0.16	-	 < 0.01	1.00E+00
nucleobase-containing small molecule catabolic process (GO:0034656)	8	0	0.04	-	 < 0.01	1.00E+00
regulation of catabolic process (GO:0009894)	137	0	0.66	-	 < 0.01	1.00E+00
nucleobase-containing compound catabolic process (GO:0034655)	101	0	0.49	-	 < 0.01	1.00E+00
positive regulation of endocytosis (GO:0045807)	3	0	0.01	-	 < 0.01	1.00E+00
negative regulation of protein ubiquitination (GO:0031397)	6	0	0.03	-	 < 0.01	1.00E+00
nucleobase-containing compound biosynthetic process (GO:0034654)	180	0	0.87	-	 < 0.01	1.00E+00
negative regulation of endocytosis (GO:0045806)	4	0	0.02	-	 < 0.01	1.00E+00
actomyosin structure organization (GO:0031032)	53	0	0.26	-	 < 0.01	1.00E+00
DNA strand elongation involved in DNA replication (GO:0006271)	12	0	0.06	-	 < 0.01	1.00E+00
DNA replication initiation (GO:0006270)	16	0	0.08	-	 < 0.01	1.00E+00
tumor necrosis factor-mediated signaling pathway (GO:0033209)	4	0	0.02	-	 < 0.01	1.00E+00
reciprocal homologous recombination (GO:0140527)	23	0	0.11	-	 < 0.01	1.00E+00
regulation of insulin secretion (GO:0050796)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of plasma membrane bounded cell projection organization (GO:0120035)	68	0	0.33	-	 < 0.01	1.00E+00
sexual reproduction (GO:0019953)	77	0	0.37	-	 < 0.01	1.00E+00
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	24	0	0.12	-	 < 0.01	1.00E+00
plasma membrane bounded cell projection assembly (GO:0120031)	122	0	0.59	-	 < 0.01	1.00E+00
negative regulation of RNA catabolic process (GO:1902369)	13	0	0.06	-	 < 0.01	1.00E+00
intraciliary transport involved in cilium assembly (GO:0035735)	4	0	0.02	-	 < 0.01	1.00E+00
regulation of growth (GO:0040008)	16	0	0.08	-	 < 0.01	1.00E+00
growth (GO:0040007)	7	0	0.03	-	 < 0.01	1.00E+00
organelle membrane fusion (GO:0090174)	47	0	0.23	-	 < 0.01	1.00E+00
cell fate specification (GO:0001708)	29	0	0.14	-	 < 0.01	1.00E+00
mesoderm formation (GO:0001707)	7	0	0.03	-	 < 0.01	1.00E+00
DNA unwinding involved in DNA replication (GO:0006268)	7	0	0.03	-	 < 0.01	1.00E+00
animal organ morphogenesis (GO:0009887)	85	0	0.41	-	 < 0.01	1.00E+00
endoderm formation (GO:0001706)	7	0	0.03	-	 < 0.01	1.00E+00
establishment of mitotic spindle localization (GO:0040001)	13	0	0.06	-	 < 0.01	1.00E+00
formation of primary germ layer (GO:0001704)	13	0	0.06	-	 < 0.01	1.00E+00
regulatory ncRNA processing (GO:0070918)	19	0	0.09	-	 < 0.01	1.00E+00
DNA-templated DNA replication (GO:0006261)	65	0	0.31	-	 < 0.01	1.00E+00
DNA replication (GO:0006260)	71	0	0.34	-	 < 0.01	1.00E+00
regulation of receptor signaling pathway via STAT (GO:1904892)	9	0	0.04	-	 < 0.01	1.00E+00
unsaturated fatty acid metabolic process (GO:0033559)	9	0	0.04	-	 < 0.01	1.00E+00
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	5	0	0.02	-	 < 0.01	1.00E+00
post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	2	0	0.01	-	 < 0.01	1.00E+00
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	5	0	0.02	-	 < 0.01	1.00E+00
modification-dependent protein catabolic process (GO:0019941)	210	0	1.01	-	 < 0.01	6.28E-01
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	17	0	0.08	-	 < 0.01	1.00E+00
regulation of mitotic cell cycle (GO:0007346)	80	0	0.39	-	 < 0.01	1.00E+00
sodium ion transmembrane transport (GO:0035725)	50	0	0.24	-	 < 0.01	1.00E+00
positive regulation of response to external stimulus (GO:0032103)	28	0	0.14	-	 < 0.01	1.00E+00
regulation of cytokinesis (GO:0032465)	6	0	0.03	-	 < 0.01	1.00E+00
intraciliary retrograde transport (GO:0035721)	6	0	0.03	-	 < 0.01	1.00E+00
acrosome reaction (GO:0007340)	1	0	0	-	 < 0.01	1.00E+00
carbohydrate derivative transport (GO:1901264)	24	0	0.12	-	 < 0.01	1.00E+00
amide transport (GO:0042886)	10	0	0.05	-	 < 0.01	1.00E+00
RNA destabilization (GO:0050779)	27	0	0.13	-	 < 0.01	1.00E+00
positive regulation of immune response (GO:0050778)	54	0	0.26	-	 < 0.01	1.00E+00
regulation of dendrite development (GO:0050773)	14	0	0.07	-	 < 0.01	1.00E+00
cyclic-nucleotide-mediated signaling (GO:0019935)	21	0	0.1	-	 < 0.01	1.00E+00
positive regulation of axonogenesis (GO:0050772)	6	0	0.03	-	 < 0.01	1.00E+00
mitochondrial RNA processing (GO:0000963)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of TORC1 signaling (GO:1903432)	17	0	0.08	-	 < 0.01	1.00E+00
cGMP-mediated signaling (GO:0019934)	2	0	0.01	-	 < 0.01	1.00E+00
cAMP-mediated signaling (GO:0019933)	19	0	0.09	-	 < 0.01	1.00E+00
regulation of axonogenesis (GO:0050770)	14	0	0.07	-	 < 0.01	1.00E+00
binding of sperm to zona pellucida (GO:0007339)	1	0	0	-	 < 0.01	1.00E+00
dephosphorylation (GO:0016311)	93	0	0.45	-	 < 0.01	1.00E+00
bone mineralization (GO:0030282)	1	0	0	-	 < 0.01	1.00E+00
single fertilization (GO:0007338)	6	0	0.03	-	 < 0.01	1.00E+00
endocytic recycling (GO:0032456)	30	0	0.14	-	 < 0.01	1.00E+00
regulation of neuronal synaptic plasticity (GO:0048168)	8	0	0.04	-	 < 0.01	1.00E+00
regulation of synaptic plasticity (GO:0048167)	24	0	0.12	-	 < 0.01	1.00E+00
amide biosynthetic process (GO:0043604)	162	0	0.78	-	 < 0.01	1.00E+00
amide metabolic process (GO:0043603)	244	0	1.18	-	 < 0.01	6.34E-01
establishment of protein localization to membrane (GO:0090150)	61	0	0.29	-	 < 0.01	1.00E+00
cellular response to unfolded protein (GO:0034620)	20	0	0.1	-	 < 0.01	1.00E+00
mitochondrial protein processing (GO:0034982)	4	0	0.02	-	 < 0.01	1.00E+00
positive regulation of neurogenesis (GO:0050769)	21	0	0.1	-	 < 0.01	1.00E+00
mitochondrial RNA metabolic process (GO:0000959)	14	0	0.07	-	 < 0.01	1.00E+00
regulation of neurogenesis (GO:0050767)	34	0	0.16	-	 < 0.01	1.00E+00
intermembrane lipid transfer (GO:0120009)	2	0	0.01	-	 < 0.01	1.00E+00
nuclear-transcribed mRNA catabolic process (GO:0000956)	48	0	0.23	-	 < 0.01	1.00E+00
regulation of canonical Wnt signaling pathway (GO:0060828)	43	0	0.21	-	 < 0.01	1.00E+00
protein modification by small protein conjugation (GO:0032446)	200	0	0.97	-	 < 0.01	1.00E+00
negative regulation of cAMP-mediated signaling (GO:0043951)	2	0	0.01	-	 < 0.01	1.00E+00
polyamine biosynthetic process (GO:0006596)	6	0	0.03	-	 < 0.01	1.00E+00
response to endoplasmic reticulum stress (GO:0034976)	64	0	0.31	-	 < 0.01	1.00E+00
polyamine metabolic process (GO:0006595)	7	0	0.03	-	 < 0.01	1.00E+00
response to tumor necrosis factor (GO:0034612)	7	0	0.03	-	 < 0.01	1.00E+00
lipid storage (GO:0019915)	4	0	0.02	-	 < 0.01	1.00E+00
chromosome condensation (GO:0030261)	8	0	0.04	-	 < 0.01	1.00E+00
melanosome organization (GO:0032438)	5	0	0.02	-	 < 0.01	1.00E+00
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	17	0	0.08	-	 < 0.01	1.00E+00
regulation of cAMP-mediated signaling (GO:0043949)	2	0	0.01	-	 < 0.01	1.00E+00
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	4	0	0.02	-	 < 0.01	1.00E+00
